frequency_rank,characters,pinyin
666,垃圾,lājī
667,蚁,yǐ
668,泡泡,pàopào
669,面包,miànbāo
670,伙伴,huǒbàn
671,走路,zǒulù
672,球,qiú
673,一下子,yíxiàzi
674,些,xiē
675,拿起,náqǐ
676,寻找,xúnzhǎo
677,贴,tiē
678,泥土,nítǔ
679,马上,mǎshàng
680,教室,jiàoshì
681,同,tóng
682,春,chūn
683,钻,zuān
684,城市,chéngshì
685,步,bù
686,弟弟,dìdì
687,葡萄,pútáo
688,黑色,hēisè
689,牙医,yáyī
690,连忙,liánmáng
691,下面,xiàmian
692,巨人,jùrén
693,信,xìn
694,星球,xīngqiú
695,睡着,shuìzháo
696,象,xiàng
697,名字,míngzi
698,所,suǒ
699,得到,dédào
700,村子,cūnzi
701,对不起,duìbùqǐ
702,大海,dàhǎi
703,以为,yǐwéi
704,王,wáng
705,读,dú
706,生,shēng
707,昨天,zuótiān
708,知,zhī
709,学生,xuésheng
710,闻,wén
711,托,tuō
712,博士,bóshì
713,翠鸟,cuìniǎo
714,儿,ér
715,卷发,juǎnfà
716,碰,pèng
717,下午,xiàwǔ
718,太空船,tàikōngchuán
719,捡,jiǎn
720,一切,yíqiè
721,邻居,línjū
722,从来,cónglái
723,当时,dāngshí
724,休息,xiūxi
725,足球,zúqiú
726,闭,bì
727,裤子,kùzi
728,努力,nǔlì
729,走进,zǒujìng
730,火,huǒ
731,握,wò
732,坏,huài
733,彩虹,cǎihóng
734,市长,shìzhǎng
735,动物园,dòngwùyuán
736,怎样,zěnyàng
737,才能,cáinéng
738,划,huà
739,出门,chūmén
740,急,jí
741,绳子,shéngzi
742,活,huó
743,重,zhòng
744,加,jiā
745,房间,fángjiān
746,摘,zhāi
747,层,céng
748,当然,dāngrán
749,顶,dǐng
750,眼,yǎn
751,石,shí
752,草帽,cǎomào
753,熊猫,xióngmāo
754,桃子,táozi
755,晚安,wǎnān
756,属,shǔ
757,茶,chá
758,欢迎,huānyíng
759,检查,jiǎnchá
760,星,xīng
761,外婆,wàipó
762,形状,xíngzhuàng
763,肉,ròu
764,句,jù
765,照,zhào
766,或,huò
767,不管,bùguǎn
768,跌,diē
769,专心,zhuānxīn
770,由于,yóuyú
771,咦,yí
772,清楚,qīngchu
773,一面,yīmiàn
774,内,nèi
775,已,yǐ
776,有名,yǒumíng
777,原,yuán
778,早晨,zǎochén
779,望远镜,wàngyǔanjìng
780,有点,yǒudiǎn
780,有点儿,yǒudiǎn er
781,使劲,shǐjìn
781,使劲儿,shǐjìn er
782,龟,guī
783,外公,wàigōng
784,搬,bān
785,帮助,bāngzhù
786,刷牙,shuāyá
787,刺猬,cìwei
788,刺,cì
789,附近,fùjìn
790,脑袋,nǎodai
791,兴奋,xīngfèn
792,举,jǔ
793,伤心,shāngxīn
794,热闹,rènao
795,远处,yuǎnchù
796,停下,tíngxia
797,立刻,lìkè
798,借,jiè
799,不断,bùduàn
800,歌,gē
801,排,pái
802,由,yóu
803,今年,jīnnián
804,扔,rēng
805,宇宙,yǔzhòu
806,队,duì
807,小时候,xiǎoshíhòu
808,数,shù
809,蜜蜂,mìfēng
810,阿姨,āyí
811,啄,zhuó
812,种子,zhǒngzǐ
813,认真,rènzhēn
814,腿,tuǐ
815,没关系,méiguānxì
816,包,bāo
817,副,fù
818,怪,guài
819,饱,bǎo
820,子,zǐ
821,疼,téng
822,认为,rènwéi
823,参加,cānjiā
824,长城,chángchéng
825,千,qiān
826,近,jìn
827,日子,rìzi
828,班,bān
829,抓,zhuā
830,堆,duī
831,紧,jǐn
832,鸦,yā
833,饼干,bǐnggān
834,娃娃,wáwa
835,驴子,lǘzǐ
836,选,xuǎn
837,鸵鸟,tuóniǎo
838,蜂蜜,fēngmì
839,隧道,suìdào
840,沙,shā
841,喂,wèi
842,手指,shǒuzhǐ
843,研究,yánjiū
844,盖,gài
